"id";"name";"link";"visited"
70;"Revitaal Mantrra";"http://www.justdial.com/Delhi/Revitaal-Mantrra-<near>-Near-Metro-Station-18-Near-Icici-Bank-Atm-Noida-Sector-18/011PXX11-XX11-090914165819-J9E1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
71;"Titanium Fitness Club";"http://www.justdial.com/Delhi/Titanium-Fitness-Club-<near>-Near-Sector-4-Police-Post-Gurgaon-Sector-4/011PXX11-XX11-150106195326-L7Y2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
74;"Force Gym";"http://www.justdial.com/delhi/Force-Gym-<near>-Near-Dear-Park-Humayun-Pur-Safdarjung-Enclave/011PXX11-XX11-130406140000-J6D4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
75;"Xtrafit Gym & Fitness Studio";"http://www.justdial.com/Delhi/Xtrafit-Gym-Fitness-Studio-<near>-Oposite-Radisson-Hotel-Behra-Enclave/011PXX11-XX11-150112191830-W2V5_BZDET?xid=RGVsaGkgR3ltcw==";"1"
76;"Three Graces";"http://www.justdial.com/Delhi/Three-Graces-<near>-Vasant-Vihar/011PXX11-XX11-110429112422-F8W6_BZDET?xid=RGVsaGkgR3ltcw==";"1"
77;"Fit Hit Gym & Spa";"http://www.justdial.com/Delhi/Fit-Hit-Gym-Spa-<near>-Near-Metro-Station-And-Opposite-Metro-Pillar-Number-363-Ramesh-Nagar/011PXX11-XX11-150430105837-G2W8_BZDET?xid=RGVsaGkgR3ltcw==";"1"
78;"Energie Gym Spa Salon And F...";"http://www.justdial.com/Delhi/Energie-Gym-Spa-Salon-And-Fitness-Equipments-<near>-Near-V3s-Mall-Laxmi-Nagar-Nirman-Vihar/011PXX11-XX11-140731170830-Q6W7_BZDET?xid=RGVsaGkgR3ltcw==";"1"
79;"Benefit Express Gym";"http://www.justdial.com/Delhi/Benefit-Express-Gym-<near>-Behind-HP-Petrol-Pump-Noida-Sector-51/011PXX11-XX11-120527212331-P6J7_BZDET?xid=RGVsaGkgR3ltcw==";"1"
81;"Satisfaction Gym & Yoga Centre";"http://www.justdial.com/Delhi/Satisfaction-Gym-Yoga-Centre-<near>-Near-Sector-23-Market-Gurgaon-Sector-23/011PXX11-XX11-131101130009-D4H6_BZDET?xid=RGVsaGkgR3ltcw==";"1"
82;"Total Training Terminal";"http://www.justdial.com/Delhi/Total-Training-Terminal-<near>-Near-Preet-Vihar-Metro-Station-Preet-Vihar/011PXX11-XX11-130417194650-J2W4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
83;"The Tone Zone Fitness Factory";"http://www.justdial.com/Delhi/The-Tone-Zone-Fitness-Factory-<near>-Near-Anand-Sagar-Restaurant-Yamuna-Vihar/011PXX11-XX11-151007092326-U9V1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
85;"Dronacharyas The Gym";"http://www.justdial.com/Delhi/Dronacharyas-The-Gym-<near>-Near-K-M-Chowk-Dwarka-Sector-12/011P1238080362B7I2I4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
86;"Yoga Fitness Centre";"http://www.justdial.com/delhi/Yoga-Fitness-Centre-<near>-Sec-56-sushant-lok-2-Gurgaon/011PXX11-XX11-151023124818-P9U2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
91;"Diamond Fitness Club";"http://www.justdial.com/Delhi/Diamond-Fitness-Club-<near>-near-shiv-main-market-tea-point-/011PXX11-XX11-151015083647-N4S5_BZDET?xid=RGVsaGkgR3ltcw==";"1"
94;"Total Fitness";"http://www.justdial.com/delhi/Total-Fitness-<near>-Shivalik-malviya-Nagar/011PXX11-XX11-141230204858-L4Z2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
